block_id,street,barrio,tipo_c,traffic,n_lines_on,n_lines_walk,buses_hour_on,buses_hour_walk,score_n_lines_walk,score_buses_hour_walk
5529,"LUISONI, ARTURO, MAYOR",Retiro,CALLE,0.25,0,26,0.0,555.6,67.9,41.3
5530,ZANNI PEDRO COMODORO,Retiro,CALLE,0.25,0,26,0.0,555.6,67.9,41.3
5680,ZANNI PEDRO COMODORO,Retiro,CALLE,0.25,0,26,0.0,639.2,67.9,51.3
5920,"LUISONI, ARTURO, MAYOR",Retiro,CALLE,0.25,0,26,0.0,639.2,67.9,51.3
8413,PARAGUAY,Retiro,CALLE,0.25,1,26,47.6,730.0,67.9,45.3
8505,"PELLEGRINI, CARLOS",Retiro,CALLE,0.25,0,26,0.0,762.5,67.9,66.0
8519,PARAGUAY,Retiro,CALLE,0.25,1,26,47.6,787.4,67.9,52.1
8570,PARAGUAY,Retiro,CALLE,0.25,1,26,47.6,821.8,67.9,56.2
8696,SAN MARTIN,Retiro,CALLE,0.25,0,26,0.0,573.6,67.9,43.5
8774,SUIPACHA,Retiro,CALLE,0.25,0,26,0.0,763.2,67.9,66.1
9263,TOSCANINI ARTURO,San Nicolas,CALLE,0.25,0,26,0.0,804.1,67.9,71.0
9623,LAVALLE,San Nicolas,CALLE,0.25,0,26,0.0,532.9,67.9,38.6
9723,SUIPACHA,San Nicolas,CALLE,0.25,0,26,0.0,765.8,67.9,66.4
9737,LAVALLE,San Nicolas,CALLE,0.25,0,26,0.0,767.4,67.9,66.6
10044,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,26,0.0,782.0,67.9,68.4
10356,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,26,0.0,769.2,67.9,66.8
10484,25 DE MAYO,San Nicolas,CALLE,0.25,0,26,0.0,742.5,67.9,63.6
10535,SAN MARTIN,San Nicolas,CALLE,0.25,0,26,0.0,568.8,67.9,42.9
10686,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,CALLE,0.25,0,26,0.0,802.3,67.9,70.8
10724,CASTELLI,Balvanera,CALLE,0.25,0,26,0.0,802.1,67.9,70.8
10793,RECONQUISTA,San Nicolas,CALLE,0.25,0,26,0.0,645.9,67.9,52.1
11010,"RIVAROLA, RODOLFO, DR.",San Nicolas,CALLE,0.25,0,26,0.0,574.1,67.9,43.5
11023,"PERON, JUAN DOMINGO, TTE. GENERAL",Balvanera,CALLE,0.25,1,26,28.3,864.0,67.9,75.0
11678,"ALSINA, ADOLFO",Monserrat,CALLE,0.25,0,26,0.0,766.2,67.9,66.5
11750,"JAURES, JEAN",Balvanera,CALLE,0.25,1,26,0.0,805.6,67.9,71.2
12007,DEFENSA,Monserrat,CALLE,0.25,0,26,0.0,721.5,67.9,61.1
12378,"ALSINA, ADOLFO",Balvanera,CALLE,0.25,0,26,0.0,764.0,67.9,66.2
13740,"BALCARCE, FLORENCIO",Caballito,PASAJE,0.0,0,19,0.0,484.9,67.9,57.9
14796,"LORA, FELIX",Caballito,PASAJE,0.0,0,19,0.0,554.6,67.9,66.2
15029,SAN IRENEO,Caballito,PASAJE,0.0,0,19,0.0,564.8,67.9,67.4
15181,PAYSANDU,Caballito,PASAJE,0.0,0,19,0.0,538.0,67.9,64.2
16458,PIEDRAS,,CALLE,0.25,0,26,0.0,716.6,67.9,60.6
16710,ANTEQUERA,Constitucion,PASAJE,0.0,0,19,0.0,518.5,67.9,61.9
21062,"QUINQUELA MARTIN, BENITO",Barracas,PASAJE,0.0,0,19,0.0,663.4,67.9,79.2
23670,LYNCH,Nueva Pompeya,CALLE,0.25,1,26,18.2,797.0,67.9,70.2
23735,LYNCH,Nueva Pompeya,CALLE,0.25,1,26,21.9,797.0,67.9,70.2
23844,ROMERO,Nueva Pompeya,CALLE,0.25,0,26,0.0,797.0,67.9,70.2
31551,PASAJE SASTRE,Constitucion,PASAJE PARTICULAR,0.0,0,19,0.0,676.6,67.9,80.8
31661,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,26,0.0,767.4,67.9,66.6
31662,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,26,0.0,782.0,67.9,68.4
