block_id,lines
1037,019
1041,029 059 060 068 133 152 161 168 184
1042,130
1044,071 110 130
1047,107
1048,107
1049,071
1050,076
1053,029 130
1055,041 067
1059,029 093 110
1060,029 093
1062,015 029 107 130
1067,110
1068,029 093 110
1069,071 076
1070,071 076
1075,026 092 128
1080,107
1084,042 107
1085,107
1090,071 130
1091,071
1093,029 130
1094,019
1098,110
1099,107
1103,110
1104,029 110
1111,071
1112,071 076
1113,029 130
1114,151
1118,071
1125,041 067
1129,093 110
1130,093
1131,107
1132,071 130
1133,110
1135,029 059 060 068 133 152 161 168 184
1137,019
1138,019 029 130
1139,019
1147,071
1148,076
1151,110
1152,071 110 130
1156,107
1159,110
1160,107
1161,015 029 107 130
1166,042 107 130
1167,107
1168,071
1170,110
1171,029 093 110
1173,029 130
1177,107
1183,071
1188,110
1197,130
1198,019 029 130
1202,071
1203,071 076
1205,151
1206,110
1207,029 110
1212,071
1213,071
1214,110
1215,041 067
1217,071 110 130
1224,093 110
1226,029 059 060 068 152 161 168 184
1227,029 130
1231,071 110 130
1235,071
1236,076
1239,107
1241,042 107 130
1242,107
1247,130
1248,008 033 034 037 045 160 166
1249,107
1254,071
1256,019 029 130
1257,019
1261,110
1262,093 110
1266,015 029 130
1271,029 130
1272,019
1276,130
1279,110
1283,029
1289,151
1292,071
1293,071 076
1295,041 067
1299,071 110 130
1301,071
1307,130
1308,034
1311,029 130
1315,107
1317,042 130
1319,110
1320,093 110
1325,071 076
1326,019 029 130
1328,107
1330,130
1332,029 057 059 060 068 133 152 161 168 184 194
1336,130
1338,093 110
1344,071
1345,071
1349,130
1353,019
1363,015 029 130
1364,071 076
1365,029 130
1367,110
1368,110
1372,071
1373,071 076
1378,071
1380,130
1381,130
1385,041 067
1390,019 029 130
1391,019
1393,071 110 130
1394,107
1396,110
1397,071 110 130
1399,093 110
1400,042 130
1405,029 067 110 130
1406,029
1409,067 110
1411,041 067 110
1412,093 110
1414,107
1416,041 067 110
1417,041 067 110
1418,093
1420,151
1422,076
1424,041 067 110
1425,110
1426,110
1432,041 067 110
1433,110
1434,041 067
1435,107
1440,110
1441,041 093 110
1446,041 067
1447,029 130
1450,029 067 076 130
1455,107
1457,019
1460,042 130
1464,029 130
1467,110
1469,029 059 060 068 152 161 168 184
1474,107
1476,130
1477,130
1478,076
1479,029 067 076 130
1480,110
1484,071
1488,042 130
1489,042 130
1491,019
1492,041 067
1495,107 130
1496,015 029 130
1497,110
1498,041 093 110
1499,041 067 110
1500,041 067
1503,071
1506,029 130
1508,110
1512,071
1513,071 110
1518,041
1520,071
1525,029 130
1529,029 130
1530,029 067 076 130
1532,042 130
1533,130
1534,107
1536,041 169
1539,041 093
1540,008 033 034 037 045 160 166
1545,071
1549,041 059 060 068 133 152 161
1552,110
1553,110
1562,071
1567,042 130
1572,019
1575,071
1576,110
1577,041 169
1579,110
1581,029 067 076 130
1583,041 059 060 133 152 161
1584,107
1588,029 130
1595,041 093 110
1597,019
1600,071
1601,107
1603,071
1604,071
1609,042 130
1610,015 029 130
1611,071
1619,071
1622,029 130
1623,029 067 076 130
1624,107
1627,019
1629,110
1630,041 093
1635,041 057 059 060 133 152 161 194
1636,041 169
1644,076
1646,110
1647,042 130
1654,071
1655,107
1657,107
1658,107
1660,107
1664,071
1665,071
1666,130 160
1669,067 076
1671,071
1672,110
1673,110
1674,041 093 110
1678,041 059 060 133 152 161
1681,041 169
1685,015 029 042
1689,071
1690,071
1691,107
1692,107
1697,071
1701,019
1703,019
1704,107
1707,041 059 060 133 152 161
1708,071
1709,019
1713,041 093
1715,067 076
1716,042 130
1717,015 029 130
1720,071
1721,071
1722,107 114
1724,008
1728,107
1729,071
1731,076
1733,041 169
1734,151
1739,107
1740,107
1741,071
1742,071
1752,110
1757,067 076
1759,041 093 110
1760,042
1762,107 114
1763,114
1764,071
1765,071
1775,107 114
1776,029 041 059 060 133 152 161
1777,076
1778,076
1780,067
1783,015 029 042
1784,015 029
1785,110
1787,019
1788,071
1789,041 093
1791,019
