block_id,street,barrio,tipo_c,red_jerarq,length_m,n_shapes,buses_hour,buses_hour_n,buses_hour_d,lines_gtfs,lines,n_lines
3463,"FREIRE, RAMON, CAP. GRAL.",Colegiales,CALLE,VÍA LOCAL,84.2,0,0,0,0,,,0
3464,"SUCRE, ANTONIO JOSE DE, MCAL.",Belgrano,CALLE,VÍA LOCAL,107.0,2,13.3,5.2,8.4,113,113,1
3465,"NAON, ROMULO",,CALLE,VÍA LOCAL,119.2,4,24.6,17.5,5.5,076,076,1
3466,ROOSEVELT FRANKLIN D.,Villa Urquiza,CALLE,VÍA LOCAL,126.9,0,0,0,0,,,0
3467,AREVALO,Palermo,CALLE,VÍA LOCAL,117.4,0,0,0,0,,,0
3468,BAEZ,Palermo,CALLE,VÍA LOCAL,113.7,0,0,0,0,,,0
3469,"MARTINEZ, ENRIQUE, GRAL.",Belgrano,CALLE,VÍA LOCAL,53.5,0,0,0,0,,,0
3470,MONROE,Villa Urquiza,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,77.2,8,31.9,23.8,22.6,107 114 133,107 114 133,3
3471,ALVAREZ THOMAS AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,90.7,3,11.6,4.0,4.8,140,140,1
3472,IBERA,Villa Urquiza,CALLE,VÍA LOCAL,83.4,0,0,0,0,,,0
3473,AIZPURUA,Villa Urquiza,CALLE,VÍA LOCAL,133.8,0,0,0,0,,,0
3474,"RIVERA, PEDRO I., DR.",Villa Urquiza,CALLE,VÍA LOCAL,119.9,0,0,0,0,,,0
3475,CAPDEVILA,Villa Urquiza,CALLE,VÍA LOCAL,99.9,0,0,0,0,,,0
3476,"ISABEL, INFANTA AV.",Palermo,AVENIDA,VÍA LOCAL,200.1,0,0,0,0,,,0
3477,CABILDO AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,132.2,48,309.8,116.3,113.7,041 057 060 067 068 152 161 194,041 057 060 067 068 152 161 194,8
3478,"PEDRAZA, MANUELA",Villa Urquiza,CALLE,VÍA LOCAL,57.5,1,8.0,4.0,5.0,112,112,1
3479,DE LOS CONSTITUYENTES AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,147.5,16,72.5,39.8,42.4,110 111 140,110 111 140,3
3480,SARMIENTO AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,65.5,4,21.0,12.0,11.0,037 057 130,037 057 130,3
3481,IRAOLA AV.,Palermo,AVENIDA,VÍA LOCAL,119.8,0,0,0,0,,,0
3482,ECHEVERRIA,Villa Urquiza,CALLE,VÍA LOCAL,103.2,0,0,0,0,,,0
3483,TRONADOR,Villa Urquiza,CALLE,VÍA LOCAL,49.5,0,0,0,0,,,0
3484,CONGRESO AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,71.2,6,33.6,19.0,14.7,140 169,140 169,2
3485,ALTOLAGUIRRE,Villa Urquiza,CALLE,VÍA LOCAL,129.0,0,0,0,0,,,0
3486,OLLEROS,Colegiales,CALLE,VÍA LOCAL,109.9,0,0,0,0,,,0
3487,CIUDAD DE LA PAZ,Colegiales,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,108.2,0,0,0,0,,,0
3488,"TAMBORINI, JOSE PASCUAL",Villa Urquiza,CALLE,VÍA LOCAL,112.8,0,0,0,0,,,0
3489,ZADO,Villa Urquiza,CALLE,VÍA LOCAL,121.2,1,8.0,4.0,5.0,112,112,1
3490,"OBLIGADO RAFAEL, AV.COSTANERA",Recoleta,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,342.3,18,50.3,38.8,26.6,033 045 194,008 033 045 160 194,5
3492,CASARES AV.,Palermo,AVENIDA,VÍA LOCAL,129.6,0,0,0,0,,,0
3493,"CHENAUT, INDALESIO, GRAL. AV.",Palermo,AVENIDA,VÍA LOCAL,117.4,0,0,0,0,,,0
3494,OLAZABAL AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,104.0,6,18.8,10.0,17.5,114 133,114 133,2
3495,LUGONES,Villa Urquiza,CALLE,VÍA LOCAL,126.2,3,16.8,8.0,8.4,093,093,1
3496,CULLEN,Villa Urquiza,CALLE,VÍA LOCAL,140.1,3,11.6,4.0,4.8,140,140,1
3497,DIAZ COLODRERO,Villa Urquiza,CALLE,VÍA LOCAL,99.9,15,64.9,34.9,34.5,071 107 140 175 176,071 107 140 175 176,5
3498,CRAMER,Colegiales,CALLE,VÍA LOCAL,170.0,0,0,0,0,,,0
3499,JURAMENTO,Villa Urquiza,CALLE,VÍA LOCAL,104.3,0,0,0,0,,,0
3500,HOLMBERG,Villa Urquiza,CALLE,VÍA LOCAL,121.4,0,0,0,0,,,0
3501,"OBLIGADO RAFAEL, AV.COSTANERA",Recoleta,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,66.3,9,26.8,14.7,13.3,033 045 194,033 045 194,3
3502,ROOSEVELT FRANKLIN D.,Villa Urquiza,CALLE,VÍA LOCAL,52.2,0,0,0,0,,,0
3503,PACHECO,Villa Urquiza,CALLE,VÍA LOCAL,54.9,0,0,0,0,,,0
3504,"RIVERA, PEDRO I., DR.",Villa Urquiza,CALLE,VÍA LOCAL,49.3,0,0,0,0,,,0
3505,LA PAMPA,Belgrano,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,125.4,2,14.1,5.3,8.6,113,113,1
3506,WASHINGTON,Belgrano,CALLE,VÍA LOCAL,120.6,0,0,0,0,,,0
3507,MAURE,Colegiales,CALLE,VÍA LOCAL,127.5,0,0,0,0,,,0
3508,ZAPATA,Colegiales,CALLE,VÍA LOCAL,63.9,0,0,0,0,,,0
3509,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,124.9,12,86.8,53.9,47.5,010 034 037 130,010 034 037 130,4
3510,QUESADA,Villa Urquiza,CALLE,VÍA LOCAL,119.4,0,0,0,0,,,0
3511,CERETTI,Villa Urquiza,CALLE,VÍA LOCAL,146.2,0,0,0,0,,,0
3512,"GARCIA, TEODORO",Colegiales,CALLE,VÍA LOCAL,63.0,0,0,0,0,,,0
3513,MOLDES,Colegiales,CALLE,VÍA LOCAL,113.1,0,0,0,0,,,0
3514,"LACROZE, FEDERICO AV.",Colegiales,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,102.9,8,48.0,28.0,32.1,042 063,042 063,2
3515,AMENABAR,Colegiales,CALLE,VÍA LOCAL,100.4,0,0,0,0,,,0
3516,"LE BRETON, TOMAS A.",Villa Urquiza,CALLE,VÍA LOCAL,122.2,0,0,0,0,,,0
3517,ANDONAEGUI,Villa Urquiza,CALLE,VÍA LOCAL,111.2,0,0,0,0,,,0
3518,MARTIRES PALOTINOS,Villa Urquiza,CALLE,VÍA LOCAL,105.2,0,0,0,0,,,0
3519,PLAZA,Villa Urquiza,CALLE,VÍA LOCAL,92.1,0,0,0,0,,,0
3520,ZABALA,Colegiales,CALLE,VÍA LOCAL,117.8,0,0,0,0,,,0
3521,CONESA,Colegiales,CALLE,VÍA LOCAL,100.2,0,0,0,0,,,0
3522,BARAGAÑA,Villa Pueyrredon,CALLE,VÍA LOCAL,61.9,1,8.0,4.0,5.0,112,112,1
3523,"AVILES, VIRREY",Colegiales,CALLE,VÍA LOCAL,139.6,0,0,0,0,,,0
3524,"FREIRE, RAMON, CAP. GRAL.",Colegiales,CALLE,VÍA LOCAL,95.5,5,50.4,13.0,23.2,151 168 184,151 168 184,3
3525,LA PAMPA,Belgrano,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,27.6,4,26.4,15.3,11.3,076 113,076 113,2
3526,"ARREDONDO, VIRREY",Colegiales,CALLE,VÍA LOCAL,121.6,0,0,0,0,,,0
3527,ZAPIOLA,Colegiales,CALLE,VÍA LOCAL,100.1,3,15.8,8.7,8.2,168,168,1
3528,BARAGAÑA,Villa Pueyrredon,CALLE,VÍA LOCAL,8.8,1,8.0,4.0,5.0,112,112,1
3529,"SUCRE, ANTONIO JOSE DE, MCAL.",Villa Urquiza,CALLE,VÍA LOCAL,110.1,2,13.3,5.2,8.4,113,076 113,2
3530,ESTOMBA,Villa Urquiza,CALLE,VÍA LOCAL,118.9,0,0,0,0,,,0
3531,MENDOZA,Villa Urquiza,CALLE,VÍA LOCAL,113.3,0,0,0,0,,,0
3532,"ACHA, MARIANO, GRAL.",Villa Urquiza,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,119.4,3,16.8,8.0,8.4,093,093,1
3533,NAHUEL HUAPI,Villa Urquiza,CALLE,VÍA LOCAL,121.8,0,0,0,0,,,0
3534,BUCARELLI,Villa Urquiza,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,100.1,1,8.0,4.0,5.0,112,112 169,2
3535,ELCANO AV.,Colegiales,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,72.1,6,57.4,19.4,21.7,044 065 080,044 065 080,3
