l_r_s,linea,coverage,gtfs_shape_id
034AIDA,34,0.7500,17421
034BVUELTA,34,0.8929,17421
195CIDA,195,1.0000,12430
195BIDA,195,1.0000,12430
195BVUELTA,195,0.9726,12431
195AIDA,195,1.0000,12420
195AVUELTA,195,0.9675,12421
007AIDA,7,1.0000,1000
001AVUELTA,1,0.8197,1511
007AVUELTA,7,0.9107,1001
001AIDA,1,0.8101,1510
002AVUELTA,2,0.9333,3071
002BVUELTA,2,0.8727,3081
008CIDA,8,0.9677,530
002BIDA,2,0.8833,3080
008CVUELTA,8,0.8056,501
004AIDA,4,0.8966,2700
008FIDA,8,1.0000,510
004AVUELTA,4,0.8980,2701
008F-varianteIDA,8,0.7679,510
004BVUELTA,4,0.7714,2721
008F-varianteVUELTA,8,0.8043,511
004BIDA,4,0.7973,2720
012BVUELTA,12,1.0000,4521
007BVUELTA,7,0.7808,4531
012BIDA,12,1.0000,4520
007BIDA,7,0.7857,4530
012CIDA,12,0.9500,630
008BIDA,8,0.9846,520
008BVUELTA,8,0.9091,521
008DIDA,8,0.2955,530
012CVUELTA,12,0.9167,631
008DVUELTA,8,0.2182,501
008FVUELTA,8,0.9756,511
008GVUELTA,8,0.5094,501
008G-varianteVUELTA,8,0.5094,501
009BVUELTA,9,0.8814,1071
021FVUELTA,21,1.0000,1581
009BIDA,9,0.8571,1070
021HIDA,21,1.0000,1560
009CVUELTA,9,0.3478,1061
009CIDA,9,0.2979,1060
024CIDA,24,0.7714,17700
009AIDA,9,0.8475,1060
185CIDA,185,0.9091,18030
009AVUELTA,9,0.8750,1061
185CVUELTA,185,0.9118,18031
010AVUELTA,10,0.9577,1041
010AIDA,10,0.9211,1040
012AVUELTA,12,1.0000,631
015BVUELTA,15,0.9903,3111
015CVUELTA,15,0.9888,3101
015CIDA,15,0.9712,3100
015DVUELTA,15,0.9910,3131
015EIDA,15,0.9455,3100
015FIDA,15,0.9216,3100
015HVUELTA,15,0.9903,3111
015IIDA,15,0.9712,3100
015IVUELTA,15,0.9888,3101
015JVUELTA,15,0.9902,3101
017AIDA,17,1.0000,1050
185BIDA,185,0.8070,18020
017AVUELTA,17,1.0000,1051
185BVUELTA,185,0.9434,18021
019AIDA,19,1.0000,2020
037CVUELTA,37,1.0000,3271
019AVUELTA,19,0.9828,2021
037CIDA,37,0.9783,3270
020AVUELTA,20,0.7917,1311
020AIDA,20,0.9167,1310
020BIDA,20,0.8986,1320
020BVUELTA,20,0.7632,1321
021AIDA,21,0.9062,1520
021AVUELTA,21,0.9310,1521
021CVUELTA,21,0.9107,1551
021CIDA,21,0.9508,1550
021DIDA,21,0.7531,1600
021DVUELTA,21,0.8026,1601
021EIDA,21,0.9481,1590
021EVUELTA,21,0.9878,1591
021FIDA,21,1.0000,1580
039AVUELTA,39,0.7317,3281
021GVUELTA,21,1.0000,1571
039AIDA,39,0.7857,3280
021GIDA,21,1.0000,1570
021HVUELTA,21,1.0000,1561
021IIDA,21,0.9508,1550
021IVUELTA,21,0.9107,1551
021KVUELTA,21,0.9219,1531
021KIDA,21,0.9577,1540
022AIDA,22,0.8857,1080
022AVUELTA,22,0.8308,1081
022BVUELTA,22,0.8197,1081
022BIDA,22,0.8615,1080
023AVUELTA,23,0.8529,621
024AVUELTA,24,0.8939,1631
024AIDA,24,0.8730,1630
024BVUELTA,24,0.8939,1641
024BIDA,24,0.8788,1640
025AVUELTA,25,0.6061,701
039BVUELTA,39,0.7660,3291
025AIDA,25,0.8182,700
026AVUELTA,26,1.0000,941
028AIDA,28,0.8939,760
185AVUELTA,185,0.9559,6691
028AVUELTA,28,0.8193,851
028BVUELTA,28,0.8550,851
028BIDA,28,0.8444,850
028CVUELTA,28,0.7727,841
028CIDA,28,0.8652,840
028DIDA,28,0.9250,830
028EIDA,28,0.8810,830
028EVUELTA,28,0.9703,821
028FIDA,28,0.9125,810
028FVUELTA,28,0.9459,811
028HIDA,28,0.8901,830
028HVUELTA,28,0.9804,831
195IVUELTA,195,1.0000,12501
195IIDA,195,1.0000,12480
195HVUELTA,195,1.0000,12481
195GVUELTA,195,1.0000,12481
194FIDA,194,1.0000,4480
194FVUELTA,194,1.0000,971
194EIDA,194,0.9944,950
193CIDA,193,1.0000,18000
193CVUELTA,193,0.9870,18001
193BVUELTA,193,0.9872,17991
182DVUELTA,182,1.0000,18041
193BIDA,193,1.0000,17990
182CVUELTA,182,1.0000,6681
193AVUELTA,193,0.9870,4421
193AIDA,193,1.0000,4420
188EIDA,188,0.9167,1270
182CIDA,182,0.9756,6680
188EVUELTA,188,0.8795,1271
188CVUELTA,188,0.8140,1231
188CIDA,188,0.9036,1230
188BVUELTA,188,1.0000,1221
188BIDA,188,1.0000,1220
188AIDA,188,1.0000,1210
188AVUELTA,188,0.9882,1211
185AIDA,185,0.8070,6690
181AIDA,181,0.9231,1970
184AVUELTA,184,0.8182,60301
181AVUELTA,181,0.7727,1971
184AIDA,184,0.8837,60300
182DIDA,182,0.9348,18040
182BIDA,182,1.0000,6670
182BVUELTA,182,0.9683,6671
182AVUELTA,182,0.9880,6661
182AIDA,182,0.9744,6660
181BIDA,181,0.9655,1980
180GVUELTA,180,0.9200,6621
181BVUELTA,181,0.7910,1981
180EIDA,180,0.9706,6650
180HVUELTA,180,0.8406,15481
180HIDA,180,0.9167,15480
180IVUELTA,180,0.8523,15491
180IIDA,180,0.9062,15490
180FIDA,180,0.9737,17290
180EVUELTA,180,1.0000,6621
180FVUELTA,180,0.8571,17291
180DIDA,180,0.7879,6640
180CIDA,180,0.8689,6630
180CVUELTA,180,0.9508,6631
180BIDA,180,0.9796,6620
180BVUELTA,180,0.9762,6621
180AIDA,180,0.9706,6610
180AVUELTA,180,0.9273,6611
179BIDA,179,0.8261,12310
178DVUELTA,178,0.6712,6591
178DIDA,178,0.7353,6590
178CIDA,178,0.9828,6580
178CVUELTA,178,0.8955,6581
178BIDA,178,0.7391,6560
178BVUELTA,178,0.7436,6561
178AIDA,178,0.7273,6550
178AVUELTA,178,0.7857,6551
177BIDA,177,1.0000,15950
177BVUELTA,177,0.9167,12241
177AVUELTA,177,1.0000,12241
177AIDA,177,1.0000,12240
028IIDA,28,0.7647,830
039BIDA,39,0.8103,3290
028IVUELTA,28,0.9726,821
028JIDA,28,0.9531,4430
028JVUELTA,28,0.8977,831
028KVUELTA,28,0.8644,781
039CIDA,39,0.7273,3300
028LIDA,28,0.8806,17150
028LVUELTA,28,0.7573,17151
029AVUELTA,29,0.8750,3201
039CVUELTA,39,0.6809,3301
029AIDA,29,0.9605,3200
029BIDA,29,0.9643,3210
029BVUELTA,29,0.8788,3211
039DIDA,39,0.7609,15790
029CIDA,29,0.9467,3200
031AIDA,31,0.9388,30380
033AVUELTA,33,0.8969,2731
033BVUELTA,33,0.8958,2741
033CVUELTA,33,0.8925,2751
033CIDA,33,0.9706,2750
033DIDA,33,0.9694,2760
033DVUELTA,33,0.8901,2761
033EIDA,33,1.0000,2730
033EVUELTA,33,0.9615,3021
033FVUELTA,33,0.9608,2741
033FIDA,33,1.0000,17340
033GVUELTA,33,0.9583,2751
039DVUELTA,39,0.7059,15791
033GIDA,33,0.9483,17350
033HVUELTA,33,0.9565,17361
033HIDA,33,0.9434,2760
033IIDA,33,0.9412,17370
039EIDA,39,0.7755,3290
033IVUELTA,33,0.8868,17371
034AVUELTA,34,0.8286,17421
034BIDA,34,0.7073,4690
039EVUELTA,39,0.7500,15801
034CIDA,34,0.4915,17421
068AVUELTA,68,1.0000,2001
034CVUELTA,34,0.4533,17421
068AIDA,68,1.0000,4610
037AIDA,37,0.9798,3250
037AVUELTA,37,0.9273,3251
068BVUELTA,68,1.0000,2001
037BIDA,37,0.9765,3260
037BVUELTA,37,0.9714,3261
039FIDA,39,0.6739,3300
060CIDA,60,0.7527,12940
060DIDA,60,1.0000,12940
060HIDA,60,1.0000,12980
067AVUELTA,67,0.9155,2111
067AIDA,67,0.9863,2110
071AIDA,71,0.8857,1110
071AVUELTA,71,0.9500,1111
071CVUELTA,71,0.9385,16681
071CIDA,71,0.8919,16680
074AIDA,74,0.9706,3430
074AVUELTA,74,0.9194,3431
076BVUELTA,76,0.9429,16691
085DIDA,85,0.8611,2860
076BIDA,76,0.9342,16690
095AVUELTA,95,1.0000,3561
080AVUELTA,80,0.9452,3521
080AIDA,80,0.9322,3520
080BVUELTA,80,0.9452,3531
080BIDA,80,0.9333,3530
085CIDA,85,0.9714,2870
085CVUELTA,85,0.9429,2871
086DIDA,86,0.9487,2150
086DVUELTA,86,0.8898,2151
086EIDA,86,1.0000,2040
086EVUELTA,86,0.9651,3061
086FVUELTA,86,0.9659,3061
086FIDA,86,1.0000,3060
086GIDA,86,0.8515,17710
086GVUELTA,86,0.8000,17711
086HVUELTA,86,0.9725,17721
086HIDA,86,0.9208,17720
087AVUELTA,87,0.9545,1791
087BVUELTA,87,0.9138,1811
090AIDA,90,0.6912,24740
087CIDA,87,0.9167,1800
090BIDA,90,0.6038,24740
087CVUELTA,87,0.9286,1801
090BVUELTA,90,0.5263,24751
088HIDA,88,1.0000,2960
091AVUELTA,91,0.9362,1821
088HVUELTA,88,1.0000,2961
088IIDA,88,1.0000,2970
088IVUELTA,88,0.9867,2971
088JVUELTA,88,1.0000,2981
088JIDA,88,1.0000,2980
088KIDA,88,1.0000,3000
088KVUELTA,88,0.9839,3001
088LVUELTA,88,1.0000,2991
095BIDA,95,0.9636,3570
088LIDA,88,1.0000,2990
088MIDA,88,1.0000,6380
088MVUELTA,88,1.0000,6381
088NVUELTA,88,1.0000,19641
091AIDA,91,0.9923,1820
